business_id,business_name,business_address,business_city,business_latitude,business_longitude,business_location
85936,Laurel Court,950 Mason St,San Francisco,,,
97722,THE CHURRO FACTORY,PIER 39  K-01,San Francisco,,,
95023,Sakesan,1400 Ocean Ave,San Francisco,,,
94977,94977 Portables 2 Carvery/BBQ,24 Willie Mays Pl Promenade Lvl Sect 112,San Francisco,,,
94943,94943 Hearth Table,24 Willie Mays Pl Lower Cent Fd Rm 1144,San Francisco,,,
96578,GOOOD FORTUNE LLC.,700 GRANT AVE,San Francisco,,,
39824,RN74,301 Mission St,San Francisco,37.790958,-122.396042,POINT (-122.396042 37.790958)
94928,"Purple Kow, KAMS",3620 Balboa St,San Francisco,,,
10030,Marshall Elementary School,1575 15th St,San Francisco,37.766864,-122.419014,POINT (-122.419014 37.766864)
95401,Blue Fog Market,2567 Gough St,San Francisco,,,
94710,People's Bistro,1419 Haight  St,San Francisco,,,
19170,Vino Rosso,629 Cortland Ave,San Francisco,37.739041,-122.415636,POINT (-122.415636 37.739041)
95754,Fools Errand,639 Divisadero St A,San Francisco,,,
100219,NAYA CAFE,5338 geary BLVD,San Francisco,,,
94605,U Dessert Story,3489 16th St,San Francisco,,,
96532,THE CLIFT ROYAL SONESTA HOTEL,495 GEARY ST,San Francisco,,,
91078,"BlueStar Refreshment Services @ Uber Technologies, Inc","555 Market St, Floors 15, 16, 17",San Francisco,,,
97503,Moscone South Main Kitchen,747 Howard St,San Francisco,,,
5787,LAWTON ELEMENTARY SCHOOL,1570 31st Ave,San Francisco,37.758013,-122.489596,POINT (-122.489596 37.758013)
96202,Soma Eats 2,121 Spear St,San Francisco,,,
72176,Wolfes Lunch,1220 16th St,San Francisco,,,
74010,Miraloma Market,755 Portola Dr,San Francisco,,,
74453,Tacos Club,2312 Market St,San Francisco,,,
75402,Champa Garden,613 Faxon Ave,San Francisco,,,
76465,Firetrail Pizza,428 11th St,San Francisco,,,
76942,Dumpling Kitchen,1935 Taraval St,San Francisco,,,
77457,City Smoke House LLC,35 06th St,San Francisco,,,
78019,North India Restaurant,123 02nd St,San Francisco,,,
78207,Schroeder's,240 Front St,San Francisco,,,
78779,Pakwan Restaurant,501 O'Farrell St,San Francisco,,,
79050,Restaurante Montecristo,3723 Mission St,San Francisco,,,
79069,Lush Gelato,1817 Polk St,San Francisco,,,
79334,Southside Spirit House,575 Howard St,San Francisco,,,
80253,Raavi,533 Jackson St,San Francisco,,,
3649,SAFEWAY #1490,2300 16th St,San Francisco,37.765708,-122.409002,POINT (-122.409002 37.765708)
2929,Academy of Arts University,1055 Pine St,San Francisco,37.790523,-122.413158,POINT (-122.413158 37.790523)
3025,PEKING RESTAURANT,1375 NORIEGA St,San Francisco,37.754086,-122.47835,POINT (-122.47835 37.754086)
2334,LA PAZ RESTAURANT,1028 POTRERO Ave,San Francisco,37.755693,-122.40665,POINT (-122.40665 37.755693)
37350,Press Club,20 Yerba Buena Ln,San Francisco,37.785386,-122.403723,POINT (-122.403723 37.785386)
99,J & M A-1 CAFE RESTAURANT LLC,779 Clay St,San Francisco,37.794293,-122.405967,POINT (-122.405967 37.794293)
19076,Star India Restaurant,3721 GEARY Blvd,San Francisco,37.781153,-122.45936,POINT (-122.45936 37.781153)
247,Toy Boat Dessert Cafe,401 Clement St,San Francisco,37.782953,-122.46351,POINT (-122.46351 37.782953)
184,RADIO HABANA,1109 VALENCIA St,San Francisco,37.755124,-122.420916,POINT (-122.420916 37.755124)
3594,CELIAS RESTAURANT,4019 JUDAH St,San Francisco,37.760423,-122.505209,POINT (-122.505209 37.760423)
19094,Rigolo,3465 California St,San Francisco,37.786663,-122.451147,POINT (-122.451147 37.786663)
1154,SUNFLOWER RESTAURANT,506 Valencia St,San Francisco,37.764678,-122.421905,POINT (-122.421905 37.764678)
1636,AXUM,698 Haight St,San Francisco,37.771738,-122.433583,POINT (-122.433583 37.771738)
36758,UVA Enoteca,568 Haight St,San Francisco,37.771988,-122.431564,POINT (-122.431564 37.771988)
2926,Luques Restaurant & Bar,433 Powell St,San Francisco,37.788673,-122.408524,POINT (-122.408524 37.788673)
39481,Mateo's Bay Area Hot Dogs,833 Bryant St,San Francisco,,,
80361,Tadu Ethiopian Kitchen,484 Ellis St,San Francisco,,,
81317,El Buen Comer,3435 Mission St,San Francisco,,,
81839,Vietnam House,642 Eddy St,San Francisco,,,
82048,Proper Food,100 Montgomery St #116,San Francisco,,,
82394,Senor Sisig #4,Off The Grid,San Francisco,,,
82656,The Pin Up,772 Folsom St,San Francisco,,,
83804,Wise Sons Delicatessen,1520 Fillmore St,San Francisco,,,
83945,Z. Cioccolato,474 Columbus Ave,San Francisco,,,
84338,Tacos El Gondo,Off The Grid,San Francisco,,,
86138,Baladie Cafe,337 Kearny St,San Francisco,,,
87791,Maple Restaurant,5820 Mission St,San Francisco,,,
87927,K-OZ Restaurant Brewery,121 7th St.,San Francisco,,,
88574,Teaspoon,2125 Polk St,San Francisco,,,
