business_id,business_name,business_address,business_latitude,business_longitude,business_location,inspection_date,inspection_score,violation_id,violation_description,risk_category
3649,SAFEWAY #1490,2300 16th St,37.765708,-122.409002,POINT (-122.409002 37.765708),2017-12-06,82,3649_20171206_103131,Moderate risk vermin infestation,Moderate Risk
2929,Academy of Arts University,1055 Pine St,37.790523,-122.413158,POINT (-122.413158 37.790523),2018-06-04,98,2929_20180604_103142,Unclean nonfood contact surfaces,Low Risk
3025,PEKING RESTAURANT,1375 NORIEGA St,37.754086,-122.47835,POINT (-122.47835 37.754086),2018-03-14,88,3025_20180314_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
2334,LA PAZ RESTAURANT,1028 POTRERO Ave,37.755693,-122.40665,POINT (-122.40665 37.755693),2017-11-28,88,2334_20171128_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
37350,Press Club,20 Yerba Buena Ln,37.785386,-122.403723,POINT (-122.403723 37.785386),2019-04-12,94,37350_20190412_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
99,J & M A-1 CAFE RESTAURANT LLC,779 Clay St,37.794293,-122.405967,POINT (-122.405967 37.794293),2018-08-08,84,99_20180808_103148,No thermometers or uncalibrated thermometers,Low Risk
19076,Star India Restaurant,3721 GEARY Blvd,37.781153,-122.45936,POINT (-122.45936 37.781153),2018-10-22,85,19076_20181022_103109,Unclean or unsanitary food contact surfaces,High Risk
247,Toy Boat Dessert Cafe,401 Clement St,37.782953,-122.46351,POINT (-122.46351 37.782953),2016-11-14,86,247_20161114_103131,Moderate risk vermin infestation,Moderate Risk
184,RADIO HABANA,1109 VALENCIA St,37.755124,-122.420916,POINT (-122.420916 37.755124),2018-02-13,90,184_20180213_103129,Insufficient hot water or running water,Moderate Risk
3594,CELIAS RESTAURANT,4019 JUDAH St,37.760423,-122.505209,POINT (-122.505209 37.760423),2018-06-21,90,3594_20180621_103139,Improper food storage,Low Risk
19094,Rigolo,3465 California St,37.786663,-122.451147,POINT (-122.451147 37.786663),2018-02-22,90,19094_20180222_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
1154,SUNFLOWER RESTAURANT,506 Valencia St,37.764678,-122.421905,POINT (-122.421905 37.764678),2019-03-27,46,1154_20190327_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
1636,AXUM,698 Haight St,37.771738,-122.433583,POINT (-122.433583 37.771738),2018-10-03,88,1636_20181003_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
36758,UVA Enoteca,568 Haight St,37.771988,-122.431564,POINT (-122.431564 37.771988),2018-10-03,89,36758_20181003_103120,Moderate risk food holding temperature,Moderate Risk
2926,Luques Restaurant & Bar,433 Powell St,37.788673,-122.408524,POINT (-122.408524 37.788673),2017-03-16,82,2926_20170316_103139,Improper food storage,Low Risk
2131,DRAGON WELL,2142 CHESTNUT St,37.800528,-122.438664,POINT (-122.438664 37.800528),2017-12-14,92,2131_20171214_103139,Improper food storage,Low Risk
14740,Eggette Cafe,3136 Noriega St,37.753338,-122.497572,POINT (-122.497572 37.753338),2019-09-20,98,14740_20190920_103154,Unclean or degraded floors walls or ceilings,Low Risk
7764,YASUKOCHI'S SWEET SHOP,1790 SUTTER St,37.78659,-122.429815,POINT (-122.429815 37.78659),2018-07-18,90,7764_20180718_103154,Unclean or degraded floors walls or ceilings,Low Risk
37482,Bursa,60 West Portal Ave.,37.740144,-122.466569,POINT (-122.466569 37.740144),2018-02-22,92,37482_20180222_103120,Moderate risk food holding temperature,Moderate Risk
10373,El Tonayense #1,1717 Harrison St,37.769426,-122.413446,POINT (-122.413446 37.769426),2017-07-24,79,10373_20170724_103102,Unclean hands or improper use of gloves,High Risk
39295,Warfield Theatre/F & B Associates,982 Market St,37.782583,-122.409919,POINT (-122.409919 37.782583),2018-02-07,94,39295_20180207_103145,Improper storage of equipment utensils or linens,Low Risk
33920,Lalita Thai Restaurant & Bar,96 McAllister St,37.780989,-122.413686,POINT (-122.413686 37.780989),2017-09-27,84,33920_20170927_103118,Employee eating or smoking,Moderate Risk
36348,El Tepa,2198 Folsom St,37.762217,-122.415035,POINT (-122.415035 37.762217),2019-10-02,77,36348_20191002_103131,Moderate risk vermin infestation,Moderate Risk
1289,ORPHAN ANDY'S,3991 A 17th St,37.758132,-122.435614,POINT (-122.435614 37.758132),2016-12-06,94,1289_20161206_103133,Foods not protected from contamination,Moderate Risk
4868,NABILA'S HAYES VALLEY HEALTH FOOD,559 HAYES St,37.776524,-122.425607,POINT (-122.425607 37.776524),2017-07-06,90,4868_20170706_103145,Improper storage of equipment utensils or linens,Low Risk
409,EL FARO,82 01st St,37.788613,-122.393894,POINT (-122.393894 37.788613),2017-06-27,83,409_20170627_103144,Unapproved or unmaintained equipment or utensils,Low Risk
35565,Daldas Market,200 Eddy St,37.784148,-122.411224,POINT (-122.411224 37.784148),2017-09-05,87,35565_20170905_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
60518,Ninki Sushi Bar & Restaurant,1439 TARAVAL St,37.742743,-122.481749,POINT (-122.481749 37.742743),2017-08-24,78,60518_20170824_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
64454,Sushirrito,59 New Montgomery St,37.787925,-122.400953,POINT (-122.400953 37.787925),2019-06-25,80,64454_20190625_103105,Improper cooling methods,High Risk
60355,Taqueria Castillo B,86 McAllister St,37.780994,-122.413637,POINT (-122.413637 37.780994),2017-09-27,88,60355_20170927_103133,Foods not protected from contamination,Moderate Risk
510,Donut Time,2401 Noriega St,37.753633,-122.48954,POINT (-122.48954 37.753633),2016-11-09,87,510_20161109_103120,Moderate risk food holding temperature,Moderate Risk
73,Santino's Vino,2101 Fillmore St,37.788932,-122.433895,POINT (-122.433895 37.788932),2017-11-29,88,73_20171129_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
7772,LA REYNA BAKERY,3114 24th St,37.752549,-122.414425,POINT (-122.414425 37.752549),2019-01-08,84,7772_20190108_103144,Unapproved or unmaintained equipment or utensils,Low Risk
59934,Ted's Sports Bar & Grill,312 HARRIET St,37.775357,-122.402758,POINT (-122.402758 37.775357),2018-02-12,92,59934_20180212_103133,Foods not protected from contamination,Moderate Risk
